id,name,gender,member_since,year_of_birth,place_of_birth,genres
0,Jewel E. Ann,female,September 1 2013,1970,Sierra Leone,Romance
1,Maureen Mayer,female,January 26 2017,1967,Japan,Romance
2,Jon Stewart,male,October 22 2010,1971,Cyprus,Nonfiction$Humor
3,Tymber Dalton,female,July 9 2007,1994,Thailand,Romance
4,Melody Anne,male,February 16 2018,1994,Egypt,Contemporary
5,Nic Sheff,male,July 22 2013,1955,Djibouti,Memoir$Fiction
6,Noah Elkrief,male,February 11 2010,1997,Comoros,Self Help$Spirituality
7,Katie McGarry,female,March 23 2012,1992,Iceland,Young Adult
8,David Grossman,male,November 26 2013,1967,Burkina,Nonfiction$Children S Books$Fiction
9,M.H. Boroson,male,February 22 2014,1972,Burma,Fantasy
10,Alan Bradley,male,February 19 2019,1963,Peru,Thriller$Biographies Memoirs
11,Candice Millard,female,June 10 2013,1967,Argentina,Biographies Memoirs
12,Oren Harman,male,May 24 2010,1986,East Timor,Science Fiction
13,Janeal Falor,female,August 14 2011,1959,Swaziland,Young Adult
14,Dian Fossey,male,June 7 2008,1972,Solomon,Outdoors Nature$Nonfiction
15,T.J. Klune,male,January 2 2016,1987,Liechtenstein,Gay Lesbian
16,Claire LaZebnik,female,June 9 2008,1965,Croatia,Fiction$Young Adult
17,Kakuzō Okakura,male,November 22 2010,1979,Tanzania,Nonfiction$History
18,W.B. Belcher,male,August 16 2016,1997,Guatemala,Science Fiction
19,MeiLin Miranda,female,August 13 2007,1967,Chad,Fantasy
20,Tim Federle,male,May 27 2014,1999,Lithuania,Humor
21,Lauren Baratz-Logsted,female,September 24 2016,1980,Vatican,Fiction
22,Alison Weir,female,November 3 2014,1950,Tonga,History
23,Carla Laureano,female,September 15 2007,1973,Korea,Contemporary
24,Melissa Landers,male,October 14 2012,1951,Croatia,Young Adult$Science Fiction
25,A. Meredith Walters,female,August 5 2018,1959,Central African Republic,Romance
26,Pink Hanamori,male,March 24 2009,1982,Uganda,Manga$Romance
27,John C. Maxwell,male,November 23 2016,1989,St Kitts,Business
28,Angel  Martinez,female,September 24 2012,1973,Nepal,Science Fiction
29,Shubham Choudhary,male,January 11 2018,1969,Myanmar,Chick Lit
30,Mike Dooley,male,April 6 2011,1993,Croatia,Health Mind Body
31,Fay Weldon,female,April 3 2016,1967,Barbados,Fiction
32,D.T. Dyllin,female,September 2 2015,1976,Slovakia,Romance
33,Brodi Ashton,male,May 24 2011,1985,Mauritania,Young Adult
34,John Gardner,male,February 11 2010,1970,Central African Republic,Fiction
35,Bruce Holsinger,male,August 9 2011,1992,Bangladesh,Science Fiction
36,Jettie Woodruff,male,November 18 2017,1998,Cameroon,Romance
37,JoAnna Carl,female,December 21 2007,1986,Croatia,Thriller
38,Scott Hildreth,male,February 18 2014,1960,Burma,Romance
39,C. JoyBell C.,female,April 26 2015,1960,Maldives,Fiction
40,Jo Walton,female,December 24 2009,1977,Cameroon,Science Fiction
41,T.H. Snyder,male,April 10 2008,1972,Bahamas,Romance
42,Lily Hoshino,female,September 23 2010,1977,Syria,Manga
43,R.L. Stine,male,March 23 2018,1982,Liechtenstein,Horror
44,Emilio Salgari,male,April 1 2014,1953,Chad,Science Fiction$Classics
45,Hannah Harrington,male,November 6 2010,1951,Zambia,Young Adult
46,Maureen Doyle McQuerry,male,June 22 2018,1969,Guatemala,Fiction
47,Stephen Blackmoore,male,February 25 2015,1954,South Sudan,Thriller
48,Stephen R. Donaldson,male,March 3 2010,1993,Kuwait,Science Fiction$Thriller
49,Desmond Morris,male,February 8 2013,1973,Senegal,Nonfiction$Science Fiction
50,Lyra Parish,female,January 28 2009,1972,Turkmenistan,Romance
51,R. Scarlett,female,June 3 2008,1961,Mali,Romance
52,Elizabeth Peters,female,October 8 2013,1951,South Sudan,Thriller$Humor
53,Mari Hamill,female,June 10 2007,1999,Kyrgyzstan,Fantasy
54,Annalise Grey,male,November 22 2015,1968,Mozambique,Poetry
