id,title,author_id,genre
0,When We Collided,692,Young Adult
1,Forging Zero,1501,Science Fiction
2,The Trick Is to Keep Breathing,179,Fiction
3,How to Win Friends and Influence People,1190,Nonfiction
4,Night,1688,Nonfiction
5,The Secret Wisdom of the Earth,778,Fiction
6,Defective,810,Fiction
7,Dracula,157,Classics
8,Starlet's Web,334,Young Adult
9,The Hate U Give,1019,Young Adult
10,The Pillow Book,717,Cultural
11,When Breath Becomes Air,576,Nonfiction
12,Olive Kitteridge,413,Fiction
13,Allegiant,1041,Young Adult
14,Descendant of the Crane,554,Fantasy
15,Into the Wilderness,1652,Historical
16,Strengths Finder 2.0,979,Business
17,Transcendence,1038,Romance
18,When Earthlings Weep,843,Science Fiction
19,The Darkest Kiss,1456,Romance
20,Alfred Hitchcock's Ghostly Gallery,303,Horror
21,Sybil: The Classic True Story of a Woman Possessed by Sixteen Personalities,1320,Nonfiction
22,The Children of Men,1707,Fiction
23,You're Welcome Universe,437,Young Adult
24,Water for Elephants,664,Fiction
25,Falling Under,1601,Young Adult
26,Kings Rising,1204,Fantasy
27,Someday This Pain Will Be Useful to You,787,Young Adult
28,Charged,809,Romance
29,She's the One,719,Romance
30,The Tibetan Book of Living and Dying,361,Philosophy
31,Megan Meade's Guide to the McGowan Boys,1006,Young Adult
32,Blackout,1122,Horror
33,The Never List,805,Thriller
34,The Maid of Fairbourne Hall,1827,Historical
35,No Strings Attached,1716,Romance
36,Working for the Devil,1629,Fantasy
37,Teaching My Mother How to Give Birth,1108,Poetry
38,The Golden Compass,1415,Fantasy
39,Tell Me Three Things,1608,Young Adult
40,The Master and Margarita,495,Fiction
41,If You Find Me,279,Young Adult
42,Tigers and Devils,1532,Romance
43,Soulless,1632,Romance
44,The V Girl,1014,Romance
45,Dewey: The Small-Town Library Cat Who Touched the World,481,Nonfiction
46,Wicked as They Come,1032,Science Fiction
47,Easy,751,Romance
48,Italian Affair,1171,Romance
49,Are You There God? It's Me Margaret,1326,Young Adult
50,Genghis Khan and the Making of the Modern World,1103,History
51,The Legend of Deathwalker,1361,Fantasy
52,Bound for Keeps,1330,Romance
53,Unhinged,1713,Fantasy
54,The 19th Wife,1049,Historical
55,Twelve Sharp,1604,Mystery
56,Man's Search for Meaning,1325,Nonfiction
57,Sleeping Stone,957,Romance
58,A Dog's Purpose,734,Fiction
59,Impossible,631,Young Adult
60,Annie on My Mind,424,Lgbt
61,The Bronze Horseman,1052,Historical
62,Collected Fictions,1144,Fiction
63,When We Wake,1199,Young Adult
64,Flawless,1679,Young Adult
65,The 5th Wave,1493,Young Adult
66,Saving CeeCee Honeycutt,1159,Fiction
67,Secret Daughter,166,Fiction
68,Wreck This Journal,1449,Nonfiction
69,Pickett's Charge,1727,Military History
70,Priest,983,Romance
71,Shelter,1169,Mystery
72,Fight Club,1259,Fiction
73,River of Darkness,392,Mystery
74,Fated,104,Romance
75,On the Island,1480,Romance
76,Night Watch,1035,Fantasy
77,The Iron Wyrm Affair,1629,Science Fiction
78,Seven Sons,989,Dark
79,Into the Darkest Corner,682,Thriller
80,We Were the Mulvaneys,1233,Fiction
