id,followings,followers
0,19,
1,128,9
2,84,
3,15,72$96
4,14,10
5,67,11$73
6,32,16
7,34,
8,68,86
9,1,50
10,4,
11,5,28
12,25,
13,81,128
14,115,4$30$108
15,79,3$122
16,6,
17,105,75
18,49,70$78
19,128,0
20,73,45
21,69,25
22,130,
23,123,43
24,92,63
25,21,12$104$124
26,60,71$112
27,77,130
28,11,
29,122,103
30,14,55$88$91$93$117
31,103,53
32,81,6$94
33,129,
34,69,7
35,40,65
36,107,
37,97,106
38,61,
39,47,120$121
40,47,35$49
41,60,69
42,55,82
43,23,
44,75,
45,20,107
46,127,
47,53,39$40
48,51,
49,40,18
50,9,
51,60,48
52,111,74
53,31,47$90$92
54,85,89
55,30,42$109$131
56,86,114
57,90,110
58,85,
59,108,
60,61,26$41$51$67
61,71,38$60
62,130,84
63,24,
64,104,97
65,35,
66,120,
67,60,5
68,115,8$95
69,41,21$34$85
70,18,
71,26,61$77
72,3,
73,5,20$111
74,52,
75,17,44$118
76,83,
77,71,27
78,18,127
79,127,15
80,94,87
81,97,13$32
82,42,
83,124,76
84,62,2$105
85,69,54$58
86,8,56
87,80,116
88,30,
89,54,98$101
90,53,57
91,30,
92,53,24
93,30,
94,32,80
95,68,
96,3,115
97,64,37$81
98,89,
99,126,
100,114,
101,89,
102,127,
103,29,31
104,25,64
105,84,17
106,37,
107,45,36
108,14,59$113$126
109,55,
110,57,
111,73,52
112,26,
113,108,
114,56,100$119
115,96,14$68
116,87,129
117,30,
118,75,
119,114,125
120,39,66$123
121,39,
122,15,29
123,120,23
124,25,83
125,119,
126,108,99
127,78,46$79$102
128,13,1$19
129,116,33
130,27,22$62
131,55,
