id,book_id,user_id,rating,date,number_of_likes
0,34,100,3,March 18 2019,21
1,366,109,5,August 2 2019,24
2,150,121,1,December 11 2017,14
3,291,86,4,June 10 2009,17
4,278,28,1,October 12 2018,16
5,84,130,5,April 15 2018,0
6,130,3,2,April 3 2013,9
7,30,68,2,February 18 2018,16
8,4,63,3,October 26 2012,8
9,123,125,3,July 8 2017,0
10,368,50,3,June 26 2008,1
11,53,61,4,October 6 2018,13
12,29,49,2,August 2 2018,14
13,215,51,1,January 18 2018,8
14,224,29,3,December 5 2015,22
15,287,67,5,October 9 2019,10
16,80,81,0,January 7 2018,17
17,284,20,3,May 2 2018,53
18,11,36,2,April 18 2016,55
19,192,4,0,November 19 2019,18
20,75,86,0,November 13 2009,42
21,106,45,3,May 12 2019,58
22,236,57,0,February 27 2016,38
23,290,82,4,August 3 2014,45
24,18,44,2,November 4 2016,26
25,73,72,2,May 14 2019,48
26,256,40,5,August 21 2017,14
27,25,41,4,April 22 2018,71
28,358,67,3,January 9 2015,5
29,71,19,5,August 8 2011,20
30,185,66,2,February 7 2017,4
31,216,53,2,January 11 2019,6
32,269,3,3,December 18 2012,44
33,366,83,5,November 27 2015,10
34,401,124,4,September 3 2012,17
35,195,20,3,September 11 2018,13
36,381,16,3,June 5 2015,13
37,347,29,5,September 9 2016,4
38,347,95,5,June 11 2019,11
39,68,56,5,July 9 2014,8
40,85,25,4,January 1 2018,11
41,165,21,0,August 18 2017,50
42,362,72,4,September 15 2019,3
43,203,100,0,November 12 2019,0
44,200,14,3,October 3 2011,13
45,289,10,3,March 9 2018,79
46,48,78,1,June 20 2015,84
47,338,38,3,December 19 2017,151
48,166,27,0,December 12 2018,16
49,210,53,1,September 8 2017,282
50,89,11,4,August 19 2018,25
51,29,119,3,January 27 2019,0
52,292,4,5,February 16 2017,33
53,39,19,4,November 9 2015,233
54,351,47,2,December 1 2018,7
55,317,118,3,October 24 2018,163
56,389,50,1,September 14 2014,14
57,316,131,0,January 13 2015,731
58,88,54,2,August 2 2019,25
59,310,119,0,November 7 2019,7
60,345,98,2,August 20 2018,30
61,163,51,0,November 25 2017,20
62,117,102,0,October 5 2014,74
63,343,23,1,June 23 2015,28
64,153,112,5,December 13 2018,34
65,189,42,2,June 19 2015,32
66,61,38,3,May 8 2012,0
67,370,68,2,January 10 2018,52
68,264,15,1,July 3 2012,55
69,11,84,4,February 12 2017,83
70,353,51,5,March 26 2019,4
71,366,101,1,June 21 2017,142
72,359,83,3,September 26 2011,0
73,356,117,4,January 26 2019,8
74,267,117,2,February 1 2019,5
75,10,89,1,April 20 2012,0
76,211,119,5,August 19 2016,0
77,385,15,2,April 22 2015,12
78,350,17,4,November 1 2019,621
79,110,94,3,August 8 2012,0
80,386,49,2,April 16 2019,39
81,333,72,4,March 3 2018,50
82,180,29,4,March 13 2019,1
83,265,94,5,December 8 2012,0
84,306,116,0,November 19 2016,0
85,136,88,0,February 2 2015,0
86,35,0,0,March 18 2017,0
87,321,23,5,August 17 2010,3
88,201,98,1,October 17 2017,4
89,305,41,0,February 20 2011,15
90,180,102,1,March 4 2015,49
91,284,41,1,June 29 2016,4
92,362,104,2,July 29 2017,13
93,54,126,4,October 11 2008,82
94,74,123,5,August 11 2014,0
95,171,103,0,April 28 2013,6
96,296,62,5,October 11 2017,44
97,118,2,1,December 16 2014,42
98,402,119,2,December 7 2013,190
99,303,79,3,November 16 2018,8
100,9,59,5,January 24 2012,25
101,104,40,5,September 14 2015,4
102,87,93,3,March 6 2012,1
103,353,26,2,January 25 2017,0
104,191,2,4,March 16 2014,7
105,222,98,5,June 6 2018,48
106,75,8,0,April 9 2008,157
107,157,60,2,August 6 2017,95
108,83,104,0,March 13 2017,0
109,188,9,0,August 19 2016,36
110,256,79,4,June 21 2019,7
111,362,125,5,November 14 2013,36
112,124,12,2,October 16 2015,18
113,33,14,5,May 1 2018,491
114,83,57,2,April 18 2015,1
115,5,42,4,May 18 2013,0
116,379,57,1,July 27 2016,20
117,314,51,0,August 29 2019,0
118,223,80,5,July 8 2019,63
119,331,23,3,May 6 2015,0
120,160,49,5,July 4 2017,0
121,232,10,0,March 2 2019,32
122,387,68,4,September 4 2017,15
123,135,10,2,June 1 2017,24
124,220,4,2,March 24 2017,120
125,12,46,0,April 17 2015,1
126,313,96,4,June 21 2013,0
127,312,11,3,December 29 2019,0
128,34,102,0,January 5 2014,0
129,378,107,1,April 28 2009,9
130,401,73,5,December 2 2018,4
131,215,84,2,June 2 2016,0
132,249,30,3,July 1 2015,132
133,111,45,5,July 22 2019,22
134,274,73,2,April 7 2013,15
135,116,36,3,November 24 2015,36
136,279,81,1,January 20 2018,1633
137,49,15,5,June 13 2014,22
138,7,90,2,October 6 2018,9
139,126,70,3,May 2 2019,0
140,196,15,1,October 5 2018,2
141,95,19,5,June 11 2012,3
142,303,49,4,January 20 2019,0
143,17,95,2,August 5 2019,65
144,225,113,2,November 3 2018,37
145,105,57,2,July 28 2016,83
146,315,31,0,May 15 2014,51
147,366,14,1,May 14 2013,81
148,249,118,5,September 13 2018,4
149,170,119,2,September 8 2016,25
150,356,71,2,May 23 2016,48
151,256,18,4,May 1 2013,0
152,234,106,3,July 2 2013,0
153,138,107,3,November 16 2010,0
154,132,104,0,August 25 2018,0
155,157,13,2,July 1 2018,174
156,67,35,4,October 2 2018,37
157,224,63,5,August 29 2017,0
158,375,97,1,October 10 2018,0
159,92,6,5,August 14 2014,1
160,182,109,1,January 1 2017,15
161,86,94,4,August 5 2019,17
162,84,63,0,February 15 2011,32
163,91,40,4,October 16 2016,57
164,104,44,1,November 19 2019,66
165,186,61,4,July 28 2009,0
166,36,23,3,December 13 2013,32
167,162,67,1,November 13 2014,18
168,91,62,3,April 12 2017,0
169,253,72,4,December 27 2016,24
170,372,42,0,March 26 2017,5
171,125,131,0,March 2 2019,0
172,62,122,4,July 19 2018,40
173,405,86,4,July 4 2010,6
174,384,30,2,April 2 2016,0
175,216,38,3,March 6 2015,0
176,175,111,1,December 23 2018,45
177,184,41,2,December 22 2017,1
178,277,45,4,June 6 2018,162
179,155,90,3,October 26 2019,19
180,334,51,5,November 9 2018,0
181,197,105,5,December 14 2017,49
182,250,56,4,December 9 2016,65
183,217,93,2,December 21 2010,46
184,169,15,3,April 16 2008,0
185,342,86,1,July 25 2010,185
186,75,4,3,February 27 2018,54
187,366,130,2,October 7 2018,30
188,237,91,2,December 23 2012,143
189,84,65,2,November 11 2019,157
190,25,57,0,May 17 2008,411
191,267,11,1,March 29 2017,30
192,55,76,5,June 4 2019,63
193,388,13,3,October 20 2017,260
194,40,27,0,August 29 2018,0
195,63,129,5,March 13 2016,8
196,113,11,1,August 26 2017,82
197,359,72,1,November 6 2019,26
198,104,87,5,August 12 2013,146
199,89,44,3,June 26 2017,44
200,178,108,2,March 18 2019,4
201,47,113,1,May 20 2017,9
202,401,102,4,January 15 2016,190
203,167,12,0,January 22 2015,12
204,374,9,5,March 29 2017,72
205,27,90,3,December 12 2018,86
206,47,97,4,November 20 2017,30
207,347,70,1,December 7 2018,93
208,3,44,5,June 1 2018,6
209,389,68,0,March 24 2019,45
210,293,32,0,April 6 2014,21
211,281,116,5,April 20 2017,164
212,47,115,5,September 20 2018,25
213,352,96,0,September 3 2017,30
214,403,101,0,January 25 2015,18
215,148,21,4,September 20 2019,665
216,153,73,4,August 24 2018,0
217,314,94,2,March 9 2018,41
218,27,51,1,February 14 2019,64
219,142,15,1,May 25 2013,0
220,230,14,1,January 4 2017,0
221,306,71,2,May 29 2017,7
222,190,64,1,November 27 2017,10
223,235,73,2,January 19 2014,436
224,265,11,0,May 15 2017,131
225,74,95,1,August 4 2016,50
226,337,79,5,June 14 2018,40
227,121,98,1,July 19 2019,98
228,185,74,3,October 5 2015,130
229,373,110,2,January 5 2014,380
230,328,33,0,May 9 2016,78
231,19,118,0,October 21 2019,168
232,333,74,0,August 21 2010,217
233,341,95,0,January 11 2019,46
234,325,5,4,February 29 2018,68
235,332,121,5,March 26 2013,58
236,200,20,5,November 1 2018,0
237,357,72,1,March 19 2019,0
238,226,67,2,February 22 2017,1
239,32,9,5,August 29 2019,15
240,51,61,4,January 1 2018,0
241,105,106,5,August 3 2018,7
242,138,125,1,August 17 2015,17
243,19,86,1,February 19 2015,2
244,73,49,4,November 20 2019,178
245,82,74,1,February 12 2011,1103
246,201,7,0,July 21 2014,0
247,2,122,1,April 12 2018,81
248,127,66,1,August 20 2017,28
249,175,64,3,February 17 2018,66
250,365,89,3,March 19 2012,231
251,232,111,2,August 7 2019,10
252,162,66,3,June 22 2019,277
253,353,107,0,October 1 2019,0
254,342,75,0,April 28 2017,1
255,135,77,3,September 22 2019,0
256,295,130,2,January 16 2018,0
257,339,83,5,July 3 2011,25
258,152,82,0,June 23 2017,1
259,137,58,2,August 2 2017,1
260,244,7,1,December 5 2019,14
261,247,25,3,July 8 2018,343
262,112,116,4,May 7 2016,736
263,231,87,5,March 27 2019,98
264,46,63,1,September 8 2018,325
265,92,98,2,May 3 2017,31
266,169,78,5,August 19 2018,158
267,338,3,2,September 9 2015,116
268,384,102,5,June 24 2019,10
269,379,123,2,January 7 2013,576
270,167,25,1,October 9 2015,77
271,300,94,0,December 22 2014,23
272,207,51,0,October 16 2019,19
273,90,73,3,April 23 2016,0
274,96,72,2,November 27 2018,210
275,114,1,1,December 5 2018,94
276,188,26,3,September 10 2018,57
277,231,14,1,August 28 2017,30
278,344,53,5,July 1 2019,50
279,195,95,0,January 11 2018,125
280,13,23,3,July 22 2010,67
281,358,64,2,November 8 2010,3
282,66,61,3,November 2 2013,34
283,106,38,5,September 12 2017,131
284,341,2,0,May 26 2018,102
285,372,114,2,February 8 2011,114
286,228,36,5,November 10 2015,66
287,313,130,4,September 10 2019,0
288,205,64,3,November 12 2011,10
289,108,113,0,September 6 2019,36
290,52,55,2,December 20 2018,32
291,385,116,2,June 26 2019,0
292,271,50,3,November 1 2017,5
293,328,70,1,December 22 2017,0
294,188,71,1,December 21 2019,167
295,324,41,2,January 21 2011,480
296,104,75,5,June 29 2018,1
297,310,38,3,March 7 2018,33
298,243,67,3,May 18 2018,17
299,52,34,5,October 13 2018,227
300,49,124,4,July 17 2013,3
301,377,84,2,June 13 2018,0
302,258,114,4,April 23 2012,586
303,335,65,3,August 14 2016,101
304,307,30,5,July 28 2019,173
305,263,120,4,July 29 2013,16
306,175,51,5,June 1 2019,23
307,207,14,2,November 15 2012,491
308,114,119,0,November 25 2013,221
309,337,19,0,October 18 2014,0
310,263,68,1,October 20 2018,253
311,32,101,2,November 5 2016,131
312,317,117,5,February 3 2019,4
313,35,117,2,April 25 2018,187
314,138,11,1,May 26 2017,629
315,132,97,4,November 7 2016,152
316,262,97,2,April 9 2019,67
317,115,23,1,August 18 2019,64
318,326,85,5,November 21 2016,0
319,299,78,4,March 8 2016,3
320,42,63,5,September 10 2014,4
321,164,28,3,February 6 2019,11
322,373,31,0,August 4 2016,178
323,275,17,5,September 9 2018,0
324,161,46,2,August 7 2013,0
325,122,37,2,April 4 2015,0
326,230,42,0,February 20 2015,0
327,298,61,2,February 6 2015,12
328,226,7,5,March 25 2016,154
329,70,86,3,May 7 2010,0
330,107,106,0,September 1 2014,84
331,62,102,2,July 21 2017,0
332,282,121,2,November 4 2015,0
333,143,24,2,August 15 2019,24
334,209,10,1,March 13 2017,104
335,2,15,4,June 6 2017,1074
336,124,83,2,July 12 2009,73
337,288,2,4,April 14 2015,277
338,369,114,4,September 3 2018,120
339,380,67,1,November 4 2016,0
340,308,116,3,February 1 2018,0
341,157,17,5,March 5 2018,55
342,195,30,4,November 11 2018,20
343,98,130,2,June 10 2019,2
344,148,78,5,October 28 2017,12
345,338,95,0,August 14 2018,0
346,111,27,0,September 12 2018,1
347,76,46,5,August 21 2017,554
348,226,69,5,July 9 2010,1
349,283,69,0,May 6 2018,277
350,227,32,4,February 15 2010,20
351,207,63,5,January 8 2008,74
352,126,117,5,January 19 2019,69
353,341,26,2,February 19 2012,3
354,30,120,4,September 6 2017,20
355,362,124,0,February 24 2015,46
356,392,97,3,August 24 2018,0
357,356,56,1,June 28 2017,96
358,327,46,4,November 7 2019,40
359,289,62,5,May 25 2019,73
360,385,81,0,May 13 2016,0
361,250,50,5,April 10 2012,51
362,143,13,1,April 23 2017,92
363,37,73,4,August 7 2019,2
364,32,75,4,November 25 2018,319
365,7,47,2,January 22 2017,0
366,91,20,0,March 6 2014,153
367,267,121,5,May 10 2017,235
368,25,49,3,May 5 2017,172
369,62,50,2,July 9 2013,103
370,263,109,0,June 23 2017,0
371,130,88,4,February 6 2019,88
372,406,74,3,October 3 2011,9
373,23,55,5,May 17 2016,95
374,246,27,1,October 19 2017,92
375,262,32,4,April 26 2010,101
376,212,38,2,September 18 2019,134
377,19,48,2,December 5 2017,0
378,18,126,4,February 9 2019,34
379,242,94,4,January 20 2015,151
380,306,127,4,January 12 2019,173
381,323,121,4,July 22 2011,58
382,105,85,5,May 16 2019,93
383,226,126,4,September 3 2015,100
384,193,101,1,January 27 2016,55
385,195,20,2,October 5 2019,40
386,98,40,4,September 13 2016,15
387,30,116,2,December 22 2017,34
388,137,24,3,July 23 2019,0
389,376,74,3,October 16 2013,112
390,343,72,0,December 29 2016,0
391,68,105,3,May 16 2019,19
392,286,13,3,September 29 2017,11
393,106,34,1,January 1 2008,157
394,155,64,4,September 12 2016,37
395,103,128,1,October 11 2018,0
396,392,8,2,January 16 2011,558
397,208,37,2,November 27 2017,104
398,20,7,4,July 8 2014,6
399,212,112,0,May 12 2012,40
400,92,21,5,September 15 2016,0
401,295,125,1,August 14 2017,0
402,395,63,4,April 1 2013,52
403,164,28,5,August 16 2018,19
404,241,5,1,September 8 2016,0
405,307,88,2,September 12 2019,48
406,391,40,2,July 9 2016,47
407,241,31,0,November 16 2018,82
408,391,103,1,March 18 2018,398
409,175,85,5,August 6 2015,47
410,121,81,3,February 6 2016,279
411,150,51,2,February 7 2018,125
412,259,32,3,April 22 2010,8
413,401,131,2,January 2 2016,2
414,141,61,2,February 24 2019,0
415,15,21,4,April 16 2014,32
416,1,93,2,April 4 2014,1
417,222,67,1,January 1 2016,0
418,319,35,3,February 3 2019,10
419,381,17,4,March 14 2019,73
420,221,60,4,September 24 2019,16
421,250,4,5,October 1 2018,0
422,324,19,1,June 24 2019,0
423,255,4,2,March 1 2017,8
424,14,5,2,February 17 2019,23
425,397,33,4,February 14 2016,195
426,348,12,4,November 28 2019,22
427,60,100,3,August 19 2019,0
428,58,94,2,July 5 2016,0
429,300,54,4,August 24 2018,129
430,150,101,0,October 15 2018,1116
431,81,2,0,August 29 2012,102
432,250,69,2,February 25 2010,42
433,347,7,4,September 28 2019,125
434,174,37,1,April 17 2016,2
435,333,89,1,February 21 2013,2
436,5,80,0,November 26 2017,138
437,222,130,2,May 14 2016,0
438,130,75,4,January 19 2019,86
439,242,85,2,June 21 2015,6
440,400,91,0,March 23 2018,95
441,19,2,4,April 8 2011,138
442,145,46,4,January 26 2015,50
443,42,103,1,April 21 2018,20
444,13,128,0,September 8 2014,41
445,256,31,3,January 9 2017,203
446,244,99,5,March 27 2017,383
